sex,age,age_cat,race,decile_score,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,two_year_recid,length_of_stay
1,23,0,0,2,0,1,2,1,-1.0,1,1,0,1,0
0,21,0,0,5,0,0,0,0,-4.0,1,0,1,0,0
1,30,1,1,3,0,0,0,0,-1.0,0,0,0,0,1
1,21,0,1,9,0,2,7,2,-3.0,0,1,2,1,0
1,20,0,1,7,1,0,0,1,13.0,0,1,1,1,40
1,24,0,1,6,0,0,0,5,16.0,0,1,1,1,18
1,35,1,0,10,0,0,0,22,0.0,0,1,2,1,2
1,50,2,1,2,0,0,0,2,-1.0,0,1,0,1,9
1,25,1,0,9,0,0,0,5,-1.0,1,0,2,0,1
1,31,1,0,8,1,1,1,12,-1.0,1,1,2,1,40
1,26,1,0,9,0,0,0,0,-1.0,0,0,2,0,1
1,22,0,0,4,0,0,0,0,-1.0,0,0,0,0,1
1,29,1,0,3,0,0,0,0,0.0,0,0,0,0,0
1,52,2,1,1,0,0,0,1,-1.0,0,0,0,0,0
1,21,0,0,7,0,0,0,0,-1.0,0,1,1,0,0
1,21,0,1,8,0,0,0,1,0.0,0,0,2,0,-1
0,20,0,1,8,0,0,0,0,0.0,0,1,2,1,2
1,30,1,1,1,0,0,0,1,-1.0,0,1,0,1,1
0,33,1,0,4,0,0,0,3,0.0,1,1,0,1,4
1,24,0,0,7,0,0,0,3,0.0,0,0,1,0,93
0,30,1,0,7,0,0,0,11,0.0,0,1,1,1,6
0,30,1,1,2,0,0,0,0,-1.0,1,0,0,0,0
1,47,2,0,2,0,0,0,13,0.0,0,1,0,1,0
1,41,1,0,9,0,1,0,9,-1.0,1,0,2,0,2
1,48,2,1,2,0,0,0,6,-26.0,0,0,0,0,5
1,52,2,0,9,0,0,0,2,-1.0,0,1,2,1,33
0,34,1,0,1,0,0,0,1,-1.0,1,0,0,0,1
1,35,1,1,3,0,0,0,0,-1.0,0,1,0,1,1
1,24,0,0,2,0,0,1,1,-1.0,0,1,0,1,0
1,25,1,0,2,0,0,0,1,0.0,1,0,0,0,0
1,34,1,0,9,0,1,0,20,-1.0,0,1,2,1,26
1,25,1,0,4,0,0,0,2,-1.0,0,1,0,1,0
1,56,2,1,1,0,0,0,6,-1.0,0,0,0,0,0
1,23,0,0,4,0,0,0,0,0.0,0,0,0,0,0
1,21,0,1,4,0,0,0,0,-1.0,1,0,0,0,1
1,66,2,1,1,0,0,0,0,-1.0,1,0,0,0,1
1,28,1,0,7,0,0,0,7,-1.0,1,0,1,0,0
1,29,1,1,1,0,0,0,0,0.0,1,0,0,0,-1
1,22,0,1,7,0,0,0,3,0.0,0,1,1,1,2
1,39,1,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,33,1,0,8,0,0,1,9,-1.0,1,1,2,1,1
1,29,1,1,1,0,0,0,2,-1.0,0,1,0,1,0
1,31,1,1,2,0,0,0,1,-1.0,0,0,0,0,1
1,22,0,0,8,0,0,0,0,-1.0,1,0,2,0,53
0,22,0,1,5,0,0,0,0,-1.0,1,0,1,0,0
1,35,1,1,4,0,0,2,3,0.0,0,0,0,0,1
1,29,1,1,4,0,0,0,3,-1.0,0,1,0,1,1
1,56,2,1,1,0,0,0,1,-1.0,0,1,0,0,0
0,34,1,0,1,0,0,0,0,-1.0,0,0,0,0,0
1,23,0,0,4,0,0,0,1,-1.0,0,1,0,1,3
1,27,1,0,5,1,0,0,1,0.0,0,1,1,1,0
1,43,1,1,1,0,0,0,2,-1.0,0,0,0,0,0
1,38,1,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,39,1,1,3,0,0,0,3,-1.0,0,0,0,0,0
1,24,0,0,3,0,0,1,1,-1.0,0,1,0,1,0
1,26,1,0,3,0,0,0,2,0.0,1,0,0,0,-1
0,55,2,1,1,0,0,0,0,-1.0,1,0,0,0,1
1,35,1,0,6,0,0,0,1,-1.0,0,1,1,1,0
1,61,2,0,7,0,0,0,25,-1.0,0,0,1,0,1
1,40,1,1,7,0,0,0,4,0.0,0,0,1,0,1
1,33,1,0,2,0,0,0,3,0.0,0,0,0,0,0
1,26,1,1,6,0,0,0,0,-1.0,0,1,1,1,1
1,32,1,1,9,0,1,0,15,0.0,0,1,2,1,90
1,28,1,0,2,0,0,0,0,-1.0,0,0,0,0,0
1,45,2,1,1,0,0,0,0,-1.0,1,0,0,0,1
1,30,1,1,9,0,0,0,0,-1.0,0,1,2,1,37
0,57,2,1,2,0,0,0,4,-1.0,0,0,0,0,257
1,26,1,0,7,0,0,0,3,-1.0,0,1,1,1,47
1,35,1,0,8,0,0,0,1,-1.0,0,0,2,0,0
0,29,1,0,5,0,0,0,0,-1.0,0,0,1,0,2
0,40,1,1,2,0,0,0,0,-1.0,1,0,0,0,1
1,28,1,1,2,0,0,0,1,-1.0,0,1,0,1,1
0,25,1,0,2,0,0,1,0,-1.0,1,0,0,0,0
1,44,1,0,6,0,0,0,3,-1.0,1,0,1,0,2
1,23,0,1,4,0,0,1,4,-1.0,0,1,0,1,0
1,29,1,0,2,0,0,0,0,-1.0,0,0,0,0,72
1,56,2,1,1,0,0,0,0,-4.0,1,0,0,0,0
0,27,1,0,3,0,0,0,0,-1.0,1,0,0,0,1
0,29,1,1,7,0,0,0,0,-1.0,1,0,1,0,0
0,34,1,1,4,0,0,0,4,-1.0,1,0,0,0,0
0,22,0,0,7,0,0,0,0,0.0,0,0,1,0,-1
1,40,1,1,1,0,0,0,5,7.0,0,1,0,1,0
1,31,1,1,1,0,0,0,0,-1.0,0,0,0,0,2
1,47,2,0,2,0,0,0,3,-1.0,0,0,0,0,1
1,24,0,0,7,0,0,0,8,-1.0,0,1,1,1,49
1,39,1,0,9,0,0,0,4,-1.0,0,0,2,0,118
1,29,1,0,6,0,0,0,10,0.0,0,1,1,1,0
0,26,1,0,9,0,0,0,4,-1.0,0,1,2,1,0
1,61,2,0,8,0,0,0,2,0.0,1,0,2,0,0
1,30,1,0,9,0,0,0,0,-1.0,1,0,2,0,1
1,20,0,0,5,0,0,1,0,-1.0,1,1,1,1,0
1,56,2,0,9,0,0,0,22,-1.0,0,1,2,1,71
0,50,2,1,3,0,0,0,3,0.0,0,1,0,1,0
1,30,1,0,6,0,0,0,10,18.0,0,1,1,1,0
1,59,2,0,1,0,0,0,1,-1.0,1,0,0,0,62
1,20,0,0,10,1,0,0,1,-1.0,0,1,2,1,187
1,23,0,1,9,0,1,0,4,-1.0,1,1,2,1,2
0,28,1,1,6,0,0,0,2,-3.0,0,1,1,1,0
1,35,1,1,5,0,0,0,3,0.0,1,1,1,1,0
1,22,0,0,9,0,0,0,1,0.0,0,1,2,1,5
1,22,0,0,7,0,0,0,0,-1.0,0,0,1,0,2
1,61,2,0,2,0,0,0,8,-22.0,0,1,0,1,0
1,26,1,0,4,0,0,0,5,-1.0,0,0,0,0,0
1,44,1,1,5,0,0,0,1,0.0,0,0,1,0,1
0,34,1,0,1,0,0,0,0,-1.0,1,1,0,1,1
1,29,1,1,2,0,0,0,1,3.0,0,1,0,1,0
1,29,1,0,9,0,0,0,8,-1.0,1,0,2,0,5
1,48,2,0,4,0,0,0,5,-1.0,0,1,0,1,0
0,31,1,0,6,0,0,0,0,-5.0,1,0,1,0,4
1,21,0,1,6,0,0,0,2,-10.0,0,0,1,0,0
1,34,1,1,5,0,0,0,4,-1.0,0,0,1,0,0
1,54,2,0,6,0,0,0,21,-1.0,0,0,1,0,0
1,20,0,1,10,0,4,0,4,-1.0,0,0,2,0,0
1,31,1,1,3,0,0,0,1,-1.0,0,1,0,1,36
1,22,0,1,4,0,0,0,0,0.0,1,0,0,0,0
1,36,1,0,4,0,0,0,6,-1.0,1,0,0,0,0
1,34,1,0,7,3,1,0,9,-1.0,0,1,1,1,0
1,50,2,0,8,0,0,0,15,-1.0,1,0,2,0,1
1,31,1,0,4,0,0,0,1,-1.0,1,0,0,0,1
1,49,2,0,3,0,0,0,10,-1.0,0,1,0,1,9
1,21,0,0,9,1,0,1,2,-1.0,0,0,2,0,36
0,26,1,0,7,0,0,0,5,-1.0,0,1,1,1,1
0,25,1,1,9,0,0,0,2,16.0,0,1,2,1,0
1,38,1,1,4,0,0,0,5,-1.0,0,0,0,0,1
1,35,1,1,1,0,0,0,2,-1.0,1,0,0,0,0
1,32,1,0,4,0,0,0,4,0.0,0,1,0,1,44
1,29,1,1,2,0,0,0,1,-18.0,0,0,0,0,2
1,46,2,1,1,0,0,0,0,0.0,0,0,0,0,0
1,53,2,1,5,0,0,0,1,-1.0,1,1,1,0,0
0,27,1,1,5,0,0,0,1,-1.0,0,1,1,1,25
1,29,1,1,8,0,0,0,4,-2.0,0,0,2,0,0
1,23,0,0,2,0,0,0,3,-1.0,1,1,0,1,0
1,24,0,1,2,0,0,0,1,-1.0,1,1,0,0,1
1,33,1,0,10,0,0,0,18,0.0,0,1,2,1,1
1,32,1,0,6,0,0,0,1,-1.0,1,1,1,1,21
0,38,1,0,10,0,0,0,7,0.0,0,1,2,1,39
1,40,1,0,7,0,0,0,20,-1.0,0,0,1,0,1
0,36,1,0,1,0,0,0,1,-1.0,1,0,0,0,0
1,34,1,0,9,0,0,0,16,-1.0,0,1,2,1,1
1,41,1,1,2,0,0,0,1,-1.0,1,1,0,1,2
1,57,2,1,1,0,0,0,7,-1.0,0,1,0,0,151
1,26,1,0,5,0,0,0,1,-1.0,0,1,1,0,1
1,45,2,0,3,0,0,0,0,0.0,0,1,0,1,0
1,26,1,0,3,0,0,1,2,-7.0,0,0,0,0,7
0,48,2,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,52,2,1,2,0,0,0,7,-1.0,1,0,0,0,0
0,43,1,0,1,0,0,0,0,-1.0,1,0,0,0,1
1,24,0,1,5,0,0,0,3,0.0,0,0,1,0,35
1,27,1,0,7,0,0,0,11,-1.0,0,1,1,1,5
1,28,1,0,6,0,0,0,2,-1.0,0,1,1,1,0
1,21,0,0,5,0,0,0,0,0.0,0,0,1,0,0
1,33,1,0,9,0,0,0,5,-1.0,1,1,2,1,1
1,25,1,0,8,0,0,0,1,-1.0,0,1,2,1,1
1,36,1,0,8,0,2,0,17,-1.0,0,1,2,1,15
0,25,1,1,5,0,0,0,0,0.0,0,0,1,0,0
1,46,2,1,5,0,0,0,0,-1.0,1,0,1,0,0
0,24,0,0,7,0,0,0,0,0.0,0,0,1,0,2
1,28,1,0,7,0,0,0,4,0.0,0,1,1,1,5
1,28,1,0,7,0,0,1,12,-2.0,1,1,1,1,1
1,23,0,0,3,0,0,0,0,0.0,1,1,0,1,1
1,50,2,1,6,0,0,0,1,-1.0,1,1,1,1,40
1,24,0,1,2,0,0,0,0,0.0,1,0,0,0,0
0,55,2,0,1,0,0,0,2,-1.0,0,0,0,0,1
1,22,0,0,7,0,0,0,0,-1.0,0,1,1,1,2
1,38,1,0,7,0,0,0,14,-1.0,0,0,1,0,56
1,31,1,0,1,0,0,0,1,-1.0,0,0,0,0,1
0,30,1,0,2,0,0,0,3,-1.0,0,0,0,0,0
1,37,1,0,8,0,0,0,16,-1.0,0,1,2,1,2
0,41,1,1,2,0,0,0,1,0.0,1,0,0,0,29
1,20,0,0,5,0,0,0,0,-1.0,0,1,1,1,0
1,21,0,1,4,0,0,0,0,0.0,1,1,0,1,0
1,22,0,1,5,0,0,0,1,0.0,1,0,1,0,8
1,38,1,0,6,0,0,0,7,-1.0,1,0,1,0,197
1,31,1,0,5,0,0,0,0,-1.0,0,0,1,0,8
1,28,1,1,7,0,0,0,0,0.0,0,0,1,0,53
1,39,1,0,8,0,0,0,1,-1.0,0,0,2,0,0
1,34,1,0,7,0,0,0,22,-1.0,0,1,1,1,1
1,24,0,0,9,0,0,0,0,-1.0,1,1,2,1,15
1,27,1,0,7,0,0,0,9,-1.0,0,1,1,1,0
1,43,1,0,1,0,0,0,2,0.0,0,0,0,0,0
1,26,1,0,4,0,0,0,1,-1.0,0,0,0,0,0
1,32,1,0,2,0,3,0,7,-1.0,0,1,0,0,5
0,57,2,1,1,0,0,0,2,-1.0,0,0,0,0,0
0,40,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,33,1,1,6,0,0,0,6,-1.0,0,1,1,1,152
1,30,1,0,5,0,0,0,2,-1.0,0,1,1,1,1
1,29,1,1,10,0,0,0,1,-1.0,1,0,2,0,11
1,36,1,0,2,0,0,0,2,-4.0,1,0,0,0,0
1,35,1,0,8,0,0,0,6,0.0,0,1,2,1,0
1,21,0,0,5,0,1,0,2,-1.0,0,1,1,1,8
1,49,2,0,6,0,0,0,29,-1.0,0,1,1,1,0
0,37,1,0,8,0,0,0,23,0.0,1,1,2,1,-1
1,29,1,0,2,0,0,0,3,0.0,0,1,0,1,-1
1,25,1,0,5,0,0,1,1,0.0,0,1,1,1,0
1,20,0,0,8,0,0,0,2,-1.0,0,1,2,1,33
1,55,2,0,4,0,0,0,5,-1.0,0,0,0,0,300
1,26,1,1,4,0,0,0,0,-1.0,1,0,0,0,1
0,52,2,1,1,0,0,0,6,-13.0,0,0,0,0,6
1,52,2,0,8,0,0,0,16,-1.0,0,1,2,1,0
1,60,2,1,2,0,0,0,2,-1.0,1,0,0,0,10
1,44,1,1,2,0,0,0,0,-1.0,1,0,0,0,2
0,25,1,0,4,0,0,0,2,-1.0,1,0,0,0,0
0,20,0,1,8,0,0,0,4,-1.0,0,1,2,1,2
1,28,1,1,7,0,0,0,3,-1.0,0,1,1,1,37
1,22,0,1,6,0,0,0,1,-12.0,0,0,1,0,11
1,24,0,1,8,0,0,0,1,-1.0,0,1,2,1,0
0,28,1,0,3,0,0,0,0,-1.0,0,0,0,0,191
1,35,1,0,6,0,0,0,10,-28.0,0,1,1,1,22
1,30,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,22,0,0,3,0,0,2,0,-1.0,0,1,0,1,7
1,39,1,0,5,0,0,0,9,0.0,0,0,1,0,0
1,26,1,0,7,0,0,0,5,-1.0,1,0,1,0,323
0,23,0,0,3,0,0,0,0,-1.0,0,0,0,0,25
0,52,2,0,7,0,0,0,0,0.0,0,1,1,1,0
0,22,0,0,5,0,0,5,0,-1.0,1,1,1,1,0
1,54,2,1,2,0,0,0,0,-1.0,0,0,0,0,2
1,50,2,0,6,0,0,0,2,0.0,1,0,1,0,30
1,20,0,0,5,0,0,4,2,-1.0,0,1,1,1,1
1,25,1,1,3,0,0,0,1,-1.0,0,0,0,0,0
0,46,2,1,1,0,0,0,0,0.0,0,0,0,0,0
1,22,0,1,4,0,0,0,0,-1.0,1,0,0,0,1
1,38,1,1,4,1,0,0,10,0.0,0,1,0,1,-1
0,34,1,0,2,0,0,0,5,-1.0,0,1,0,1,9
1,18,0,0,5,5,0,2,4,7.0,0,1,1,1,23
0,26,1,1,6,0,0,0,3,-1.0,0,1,1,1,1
0,23,0,1,6,0,0,0,0,-1.0,0,0,1,0,11
1,44,1,1,1,0,0,0,1,0.0,1,1,0,1,0
1,53,2,1,4,0,0,0,9,-1.0,0,1,0,1,117
1,27,1,0,4,0,0,0,4,0.0,0,1,0,1,0
1,25,1,1,6,0,0,0,2,0.0,0,1,1,0,0
1,19,0,1,10,0,1,3,1,-1.0,0,1,2,1,8
1,53,2,1,2,0,0,0,0,-1.0,0,0,0,0,11
1,39,1,0,3,0,0,0,0,-3.0,1,0,0,0,0
1,27,1,0,8,1,0,0,6,0.0,0,1,2,1,0
0,21,0,0,10,0,0,0,2,-10.0,0,1,2,1,1
0,24,0,0,9,0,0,0,7,-1.0,0,0,2,0,1
1,33,1,1,1,0,0,0,0,-1.0,1,0,0,0,1
0,24,0,1,4,0,0,4,1,-24.0,1,0,0,0,0
1,46,2,1,1,0,0,0,1,-4.0,0,0,0,0,0
0,38,1,1,1,0,0,0,0,-1.0,0,0,0,0,2
1,30,1,0,10,0,2,2,13,0.0,0,1,2,1,2
1,26,1,0,9,0,2,2,27,-1.0,1,1,2,1,10
1,57,2,1,1,0,0,0,2,-28.0,0,0,0,0,9
1,43,1,1,1,0,0,0,0,-1.0,0,0,0,0,2
1,22,0,0,6,0,0,0,0,0.0,1,0,1,0,0
0,28,1,0,9,0,0,0,9,-12.0,1,1,2,1,12
1,51,2,1,4,0,0,0,3,-1.0,0,0,0,0,6
1,24,0,1,7,0,0,0,1,-1.0,0,0,1,0,1
1,48,2,0,2,0,0,0,3,-1.0,0,1,0,1,1
1,26,1,1,3,0,0,0,0,-1.0,1,1,0,1,1
1,31,1,0,2,0,0,0,6,0.0,0,1,0,1,0
1,27,1,0,10,1,2,1,6,-1.0,1,0,2,0,1
1,25,1,0,4,0,0,0,0,-1.0,1,0,0,0,0
1,56,2,1,3,0,0,0,3,0.0,1,0,0,0,0
0,29,1,0,4,0,0,0,1,-1.0,1,0,0,0,1
0,30,1,1,3,0,0,0,3,-1.0,0,1,0,1,0
1,21,0,0,8,0,0,0,0,-1.0,0,0,2,0,2
1,22,0,1,4,0,0,0,1,-2.0,0,1,0,1,0
0,28,1,0,2,0,0,0,0,-1.0,1,0,0,0,0
1,35,1,0,1,0,0,0,2,0.0,0,0,0,0,-1
1,23,0,1,2,0,0,0,0,-1.0,0,0,0,0,1
1,48,2,0,8,0,0,0,4,0.0,0,0,2,0,0
1,22,0,1,8,0,1,2,4,-1.0,1,1,2,1,2
1,37,1,0,9,0,0,0,2,0.0,0,0,2,0,169
1,33,1,0,1,0,0,0,0,-1.0,0,0,0,0,0
1,23,0,0,7,0,0,1,5,-1.0,0,1,1,1,1
1,22,0,0,7,0,0,1,0,-1.0,1,1,1,1,0
1,24,0,0,4,0,0,0,0,0.0,0,0,0,0,0
1,44,1,0,7,0,0,0,2,-1.0,1,0,1,0,5
0,26,1,0,2,0,0,0,0,-1.0,1,0,0,0,0
1,29,1,0,6,0,0,0,2,-1.0,0,0,1,0,1
1,30,1,1,1,0,0,0,1,-1.0,1,0,0,0,0
1,23,0,0,6,0,0,0,1,-1.0,0,1,1,1,3
0,28,1,0,3,0,0,0,0,-1.0,0,1,0,1,2
1,20,0,0,3,0,0,0,0,-1.0,0,0,0,0,11
0,24,0,1,7,0,2,0,7,-1.0,1,0,1,0,1
1,37,1,0,2,0,0,0,6,-1.0,0,1,0,1,0
0,21,0,0,9,0,0,0,1,-1.0,0,0,2,0,4
1,27,1,0,5,0,0,0,8,-1.0,0,1,1,1,25
1,26,1,0,4,0,0,0,2,-1.0,0,1,0,1,0
1,42,1,1,1,0,0,0,0,0.0,1,0,0,0,6
1,23,0,0,10,0,0,0,8,-1.0,0,1,2,1,2
0,55,2,1,1,0,0,0,0,-3.0,1,0,0,0,0
1,24,0,1,6,0,0,0,1,-1.0,0,1,1,1,3
1,23,0,0,4,0,0,0,0,0.0,1,0,0,0,0
0,64,2,0,1,0,0,0,0,-1.0,0,0,0,0,4
0,39,1,0,5,0,0,0,0,0.0,0,1,1,1,57
1,30,1,1,2,0,0,0,0,-1.0,1,0,0,0,0
0,22,0,0,4,0,0,0,1,-3.0,1,0,0,0,-1
1,20,0,0,6,0,0,0,2,0.0,0,1,1,1,58
1,21,0,0,4,0,0,0,0,-1.0,0,1,0,1,4
1,24,0,1,4,0,0,0,0,0.0,0,0,0,0,0
1,30,1,0,7,0,0,0,3,-1.0,1,0,1,0,206
1,51,2,0,8,0,0,0,12,21.0,0,1,2,1,151
1,21,0,0,10,1,0,2,1,-1.0,0,1,2,1,1
1,31,1,0,10,0,0,0,1,-1.0,0,0,2,0,0
1,23,0,0,7,0,0,0,2,-1.0,1,1,1,1,3
1,32,1,0,4,0,0,0,4,-1.0,0,1,0,1,1
1,28,1,0,6,0,0,0,11,-1.0,0,1,1,1,2
1,24,0,0,2,0,0,1,0,-1.0,0,0,0,0,1
0,19,0,0,4,0,0,0,1,-1.0,0,1,0,1,2
1,29,1,0,4,0,0,0,3,0.0,0,1,0,1,0
1,41,1,0,6,0,0,0,6,-1.0,0,1,1,1,39
1,28,1,0,3,0,0,0,4,-1.0,1,1,0,1,34
1,29,1,1,4,0,0,0,6,-1.0,0,1,0,1,0
1,49,2,1,5,0,0,0,0,-1.0,0,0,1,0,1
1,42,1,1,1,0,0,0,0,0.0,1,0,0,0,-1
1,38,1,0,2,0,0,0,4,-1.0,1,0,0,0,0
1,22,0,0,6,0,0,1,3,-1.0,0,1,1,1,16
1,46,2,1,2,0,0,0,0,-1.0,1,1,0,1,37
1,38,1,0,3,0,0,0,0,-1.0,0,1,0,1,1
1,36,1,0,6,0,0,0,0,-1.0,0,0,1,0,0
1,22,0,1,9,0,0,0,6,-1.0,0,1,2,1,0
1,29,1,0,10,0,0,0,11,-1.0,1,0,2,0,0
1,39,1,0,2,0,0,0,2,-1.0,1,0,0,0,1
1,47,2,1,2,0,0,0,0,-1.0,1,0,0,0,2
1,26,1,0,10,0,0,0,7,-1.0,0,1,2,1,1
0,21,0,0,5,0,0,0,0,-4.0,0,1,1,1,4
1,63,2,0,1,0,0,0,2,-1.0,1,0,0,0,1
1,27,1,0,2,0,0,0,2,-1.0,0,1,0,1,0
1,55,2,1,5,0,0,0,27,-1.0,1,0,1,0,1
1,26,1,1,5,0,0,0,0,-1.0,0,1,1,1,1
1,37,1,1,2,0,0,0,1,-9.0,1,0,0,0,0
1,34,1,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,25,1,0,7,1,1,0,2,-1.0,0,1,1,1,49
1,32,1,0,9,0,0,1,8,-1.0,0,0,2,0,1
0,25,1,0,9,0,0,0,5,-1.0,0,1,2,1,0
0,33,1,0,3,0,0,0,2,-1.0,0,1,0,1,2
1,26,1,0,5,0,0,0,2,-1.0,0,1,1,1,21
1,29,1,0,4,0,0,0,2,-1.0,1,0,0,0,3
1,28,1,1,4,0,0,0,6,0.0,1,1,0,1,1
1,53,2,0,5,0,0,0,20,-3.0,0,0,1,0,3
1,27,1,1,2,0,0,0,0,-1.0,0,0,0,0,43
1,48,2,1,2,0,0,0,0,-1.0,0,0,0,0,1
1,25,1,1,4,0,0,0,1,0.0,1,1,0,1,3
1,67,2,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,29,1,0,5,0,0,1,2,0.0,1,1,1,0,0
0,53,2,0,2,0,0,0,3,-1.0,0,0,0,0,2
1,49,2,0,1,0,0,0,0,-4.0,0,0,0,0,0
0,44,1,1,1,0,0,0,0,-1.0,1,1,0,0,0
1,26,1,0,8,1,0,0,10,-1.0,0,1,2,1,2
1,46,2,0,1,0,0,0,0,-1.0,1,1,0,0,0
1,30,1,1,3,0,0,0,1,-1.0,0,1,0,1,0
0,48,2,0,6,0,0,0,0,-1.0,0,1,1,1,9
1,77,2,0,1,0,0,0,1,-1.0,1,1,0,1,2
1,21,0,0,10,0,2,2,2,-1.0,0,1,2,1,1
1,54,2,0,3,0,0,0,4,-1.0,0,1,0,1,3
1,54,2,1,2,0,0,0,3,-1.0,0,0,0,0,0
1,26,1,0,9,0,0,0,15,-1.0,0,0,2,0,42
1,23,0,0,9,0,1,1,8,0.0,0,1,2,1,255
1,39,1,1,2,0,0,0,2,0.0,0,0,0,0,18
1,29,1,0,1,0,0,0,1,-1.0,1,1,0,1,0
1,30,1,0,4,1,0,0,9,-1.0,1,1,0,1,1
1,41,1,0,3,0,0,0,6,-1.0,0,1,0,0,6
1,32,1,0,10,0,0,0,1,-1.0,1,0,2,0,115
1,48,2,0,6,0,0,0,12,-24.0,1,0,1,0,-1
1,52,2,0,6,0,0,0,0,-1.0,1,1,1,1,4
1,31,1,0,1,0,1,0,3,0.0,0,1,0,1,-1
1,22,0,1,5,0,0,3,1,-1.0,0,1,1,1,1
0,46,2,1,1,0,0,0,0,0.0,1,0,0,0,-1
1,29,1,0,4,0,0,0,7,-1.0,0,1,0,1,1
0,22,0,0,7,0,0,0,0,-2.0,0,0,1,0,0
1,39,1,0,4,0,0,0,8,-1.0,0,0,0,0,40
1,35,1,0,6,0,0,0,9,-1.0,0,0,1,0,1
1,26,1,0,1,0,0,0,1,0.0,1,0,0,0,14
1,27,1,0,2,0,0,0,1,0.0,0,1,0,0,-1
1,27,1,0,10,0,0,0,5,-28.0,0,1,2,1,28
0,34,1,1,9,0,0,0,10,22.0,0,1,2,1,13
0,32,1,0,1,0,0,0,0,0.0,1,1,0,1,0
1,25,1,0,9,0,0,1,5,-1.0,0,1,2,1,4
1,22,0,1,5,0,0,1,2,-1.0,1,1,1,1,24
1,52,2,0,9,0,0,0,7,-1.0,0,1,2,1,117
1,21,0,0,10,0,0,0,2,0.0,0,1,2,1,0
1,28,1,0,9,0,1,0,11,-1.0,0,1,2,1,1
1,23,0,1,4,0,1,0,4,-1.0,1,1,0,1,7
1,31,1,0,1,0,0,0,1,-1.0,1,0,0,0,1
1,34,1,1,5,0,0,0,1,-1.0,1,0,1,0,0
1,32,1,0,4,0,0,0,0,-1.0,1,0,0,0,0
0,50,2,1,3,0,0,0,0,-3.0,1,1,0,1,0
1,27,1,0,5,0,0,0,1,-1.0,1,0,1,0,0
0,26,1,0,3,0,1,0,4,-1.0,0,0,0,0,2
1,27,1,0,5,1,0,0,4,-1.0,0,1,1,1,1
1,29,1,1,3,0,0,0,0,0.0,0,1,0,1,0
1,58,2,0,1,0,0,0,0,-1.0,1,0,0,0,1
1,27,1,0,10,2,0,0,14,0.0,0,1,2,1,1
1,28,1,0,5,0,0,0,5,0.0,0,1,1,1,0
1,24,0,0,10,0,5,1,15,-1.0,0,1,2,1,2
1,50,2,1,1,0,0,0,0,-1.0,1,0,0,0,1
0,30,1,0,9,0,0,0,15,-4.0,0,1,2,1,-1
1,43,1,1,1,0,0,0,0,-1.0,0,1,0,1,1
1,24,0,1,2,0,0,0,0,-1.0,0,1,0,1,0
1,34,1,0,7,0,0,0,10,-1.0,0,0,1,0,1
1,26,1,1,2,0,0,0,2,-1.0,0,0,0,0,3
1,31,1,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,23,0,0,3,0,0,3,1,-24.0,0,1,0,1,22
1,39,1,0,1,0,0,0,0,-1.0,0,0,0,0,18
1,50,2,0,1,0,0,0,4,-1.0,0,1,0,1,0
0,22,0,0,6,0,0,0,0,-1.0,1,0,1,0,1
0,25,1,0,2,0,0,0,0,-1.0,1,0,0,0,0
0,21,0,0,9,0,1,0,2,-1.0,0,0,2,0,1
1,20,0,1,4,0,0,0,1,-1.0,0,0,0,0,0
1,54,2,0,5,0,0,0,12,0.0,1,1,1,1,118
0,27,1,0,6,0,0,0,2,-1.0,0,1,1,1,4
1,45,2,1,5,0,0,0,5,-4.0,0,1,1,1,1
1,34,1,0,7,3,1,0,13,-1.0,0,1,1,1,1
0,55,2,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,24,0,0,2,0,0,0,0,-1.0,1,0,0,0,0
1,20,0,0,10,0,0,1,0,0.0,0,1,2,1,0
1,37,1,0,5,0,0,0,5,0.0,1,1,1,1,6
0,34,1,1,1,0,0,0,1,-21.0,1,0,0,0,1
0,41,1,0,6,0,0,0,2,-26.0,0,1,1,1,23
1,21,0,0,6,0,0,0,1,-1.0,0,1,1,1,0
1,22,0,0,3,0,0,0,3,-1.0,0,1,0,1,8
1,24,0,0,8,0,0,0,0,0.0,0,0,2,0,1
1,42,1,1,4,0,0,0,8,-1.0,0,0,0,0,1
0,23,0,0,4,0,0,0,0,-1.0,1,1,0,1,0
1,20,0,1,4,0,0,0,0,-1.0,1,0,0,0,3
0,44,1,1,1,0,0,0,0,-1.0,0,1,0,1,0
1,20,0,0,4,0,0,0,0,-1.0,1,1,0,0,1
1,27,1,0,5,0,0,0,5,-1.0,1,0,1,0,0
1,20,0,1,10,0,0,0,0,-1.0,1,1,2,1,0
1,20,0,0,6,0,0,0,0,-3.0,0,0,1,0,0
1,28,1,1,4,0,0,0,1,-1.0,0,1,0,1,30
1,29,1,0,7,0,0,0,9,0.0,0,1,1,1,4
